,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
95,32229,1990-11-15,1991,ORL,UTA,102.0,99.0,1448.0515927059446,1454.7241756980454
96,32230,1990-11-15,1991,POR,NYK,141.0,125.0,1623.8345438543192,1538.921127333026
97,32231,1990-11-15,1991,SAC,SAS,93.0,122.0,1405.884827213,1525.3063184344005
98,32232,1990-11-15,1991,DEN,MIN,121.0,108.0,1429.3556393967256,1450.288414138402
99,32233,1990-11-15,1991,HOU,LAL,103.0,108.0,1491.1105566682736,1466.317699301861
100,32234,1990-11-16,1991,DAL,LAL,99.0,86.0,1528.379036342444,1457.5191653607537
101,32235,1990-11-16,1991,NJN,DET,96.0,105.0,1452.8055541512226,2353.022629463316
102,32236,1990-11-16,1991,PHI,WSB,115.0,102.0,1521.128530181872,1452.2161458953428
103,32237,1990-11-16,1991,PHO,LAC,121.0,110.0,1535.8207789825517,1487.2654578884863
104,32238,1990-11-16,1991,ATL,CHH,109.0,119.0,1495.1177400844992,1482.7480815234578
105,32239,1990-11-16,1991,BOS,UTA,114.0,89.0,1534.2376196982455,1446.8398569967114
106,32240,1990-11-16,1991,CLE,MIL,99.0,94.0,1565.1253571081295,1544.6678098564823
107,32241,1990-11-16,1991,IND,MIA,106.0,80.0,1496.6171419827233,1493.548159365408
108,32242,1990-11-17,1991,GSW,SAC,112.0,111.0,1561.7572222424108,1399.7919239097623
109,32243,1990-11-17,1991,MIL,NJN,111.0,99.0,1554.7157379562339,1445.75087055813
110,32244,1990-11-17,1991,NYK,PHI,106.0,79.0,1550.4215785682259,1510.6017615112567
111,32245,1990-11-17,1991,ORL,IND,96.0,89.0,1462.949267803165,1483.120628649724
112,32246,1990-11-17,1991,CHH,CLE,112.0,100.0,1500.4604276241646,1550.0103897180413
113,32247,1990-11-17,1991,DEN,POR,112.0,143.0,1418.315071403821,1633.8459314398667
114,32248,1990-11-17,1991,DET,ATL,91.0,83.0,2350.4321704453205,1494.8212088885928
115,32249,1990-11-17,1991,WSB,BOS,90.0,102.0,1438.1915410138972,1550.7404860574184
116,32250,1990-11-17,1991,SEA,CHI,95.0,116.0,1485.1621355569755,711.3439748890839
117,32251,1990-11-17,1991,SAS,PHO,128.0,114.0,1538.3369639846228,1524.293415980697
118,32252,1990-11-17,1991,HOU,MIA,117.0,100.0,1503.2958749113384,1481.7705411279107
119,32253,1990-11-18,1991,MIN,UTA,94.0,103.0,1429.9312501965999,1464.8413387690543
120,32254,1990-11-18,1991,LAC,SEA,78.0,65.0,1499.1843069080235,1473.9855275995026
121,32255,1990-11-18,1991,POR,CHI,125.0,112.0,1635.8287694266717,711.5451712617416
122,32256,1990-11-18,1991,LAL,GSW,115.0,93.0,1473.8174504168235,1546.3913520619474
123,32257,1990-11-19,1991,PHI,CHH,109.0,101.0,1522.62051585075,1487.9596701591668
124,32258,1990-11-19,1991,DEN,LAL,105.0,122.0,1400.2009655983572,1491.8460571879493
125,32259,1990-11-19,1991,MIL,UTA,114.0,104.0,1563.6738475682382,1457.612580757186
126,32260,1990-11-20,1991,DAL,MIN,91.0,92.0,1504.5919778759817,1453.1825165747573
127,32261,1990-11-20,1991,CHH,ATL,128.0,121.0,1502.4243457338953,1481.3281108183699
128,32262,1990-11-20,1991,GSW,ORL,123.0,120.0,1555.1330289718833,1452.9624558643602
129,32263,1990-11-20,1991,MIA,DET,90.0,106.0,1478.2264606733822,2365.645572876841
130,32264,1990-11-20,1991,NYK,HOU,88.0,115.0,1529.378020647152,1524.3008196332978
131,32265,1990-11-20,1991,SEA,NJN,105.0,88.0,1485.2235281256862,1433.06842325812
132,32266,1990-11-20,1991,WSB,SAC,82.0,87.0,1416.0581246591341,1418.6372178102354
133,32267,1990-11-21,1991,PHI,SAC,101.0,99.0,1530.4702781563008,1412.1288551250354
134,32268,1990-11-21,1991,PHO,CHI,109.0,107.0,1523.9216536560862,713.0931095221115
135,32269,1990-11-21,1991,SAS,MIN,114.0,100.0,1546.7714320220907,1445.8917122560654
136,32270,1990-11-21,1991,UTA,ORL,106.0,91.0,1470.0327310871644,1442.0543455452503
137,32271,1990-11-21,1991,BOS,HOU,108.0,95.0,1562.4596314717141,1514.1979930973375
138,32272,1990-11-21,1991,CLE,MIA,123.0,109.0,1559.4124098895345,1470.1682778447664
139,32273,1990-11-21,1991,IND,DET,100.0,108.0,1478.858856358217,2366.3161032076314
